읍면동,위치,인근주소,데이터기준일자
대정읍,매일시장 뒤,제주특별자치도 서귀포시 대정읍 하모리 814-2,2024-08-23
대정읍,산이수동 버스정류장,제주특별자치도 서귀포시 대정읍 송악관광로 411번길 3,2024-08-23
대정읍,상모1리사무소,제주특별자치도 서귀포시 대정읍 상모리 2652-1,2024-08-23
대정읍,인향동 경로당,제주특별자치도 서귀포시 대정읍 무릉리 132-1,2024-08-23
대정읍,좌기동놀이터,제주특별자치도 서귀포시 대정읍 무릉리 569-2,2024-08-23
대정읍,평지동 마을회관,제주특별자치도 서귀포시 대정읍 무릉리 973-1,2024-08-23
대정읍,동일2리 마을회관,제주특별자치도 서귀포시 대정읍 동일리 274,2024-08-23
대정읍,바자동삼거리,제주특별자치도 서귀포시 대정읍 신도리 2072-13,2024-08-23
대정읍,신도3리사무소,제주특별자치도 서귀포시 대정읍 비자낭로 8,2024-08-23
대정읍,신도3리사무소 북쪽,제주특별자치도 서귀포시 대정읍 신도리 1920-9,2024-08-23
대정읍,신도리 해녀탈의장 옆,제주특별자치도 서귀포시 대정읍 신도리 3074,2024-08-23
대정읍,방앗동네,제주특별자치도 서귀포시 대정읍 신도리 2633-4,2024-08-23
대정읍,어촌계창고,제주특별자치도 서귀포시 대정읍 신도리 3094-1,2024-08-23
대정읍,독고동,제주특별자치도 서귀포시 대정읍 영락리 279-2,2024-08-23
대정읍,하동삼거리,제주특별자치도 서귀포시 대정읍 영락리 1656-2,2024-08-23
대정읍,안성리사무소,제주특별자치도 서귀포시 대정읍 안성리 1476-2,2024-08-23
대정읍,농공단지 제주팩,제주특별자치도 서귀포시 대정읍 일과리 산 1-8,2024-08-23
대정읍,신호등식당 북쪽,제주특별자치도 서귀포시 대정읍 하모리 2121-28,2024-08-23
대정읍,힐링타운 입구,제주특별자치도 서귀포시 대정읍 상모리 3675-1,2024-08-23
대정읍,하모1리사무소 남쪽,제주특별자치도 서귀포시 대정읍 하모리 566-3,2024-08-23
대정읍,가파리 어촌계 맞은편,제주특별자치도 서귀포시 대정읍 가파리 70-7,2024-08-23
대정읍,가파도 상동항서쪽,제주특별자치도 서귀포시 대정읍 가파리 210,2024-08-23
대정읍,하모3리 사무소 주차장,제주특별자치도 서귀포시 대정읍 하모리 1077-1,2024-08-23
대정읍,상모대동경로당 앞 삼거리,제주특별자치도 서귀포시 대정읍 상모리 3086,2024-08-23
대정읍,상동입구 삼거리,제주특별자치도 서귀포시 대정읍 구억리 788-2,2024-08-23
대정읍,상모아파트 동쪽 공용주차장,제주특별자치도 서귀포시 대정읍 상모리 3970-2,2024-08-23
대정읍,일과1리 대수동 경로당 앞,제주특별자치도 서귀포시 대정읍 일과리 1303-8,2024-08-23
대정읍,한창기계,제주특별자치도 서귀포시 대정읍 하모리 1401-2,2024-08-23
대정읍,영어교육도시내A-20블럭,제주특별자치도 서귀포시 대정읍 보성리 2403,2024-08-23
대정읍,NLC스쿨 축구장 앞,제주특별자치도 서귀포시 대정읍 구억리 1101,2024-08-23
대정읍,영어교육도시내 곶자왈,제주특별자치도 서귀포시 대정읍 보성리 2445-6,2024-08-23
대정읍,서부보건소,제주특별자치도 서귀포시 대정읍 하모리 765-7,2024-08-23
대정읍,구연청사무실 옆,제주특별자치도 서귀포시 대정읍 상모리 2669-3,2024-08-23
대정읍,한길밭 사거리,제주특별자치도 서귀포시 대정읍 무릉리 1139-3,2024-08-23
대정읍,서부 복지관 주차장,제주특별자치도 서귀포시 대정읍 하모리 1173-1,2024-08-23
대정읍,다솜어린이집 위쪽,제주특별자치도 서귀포시 대정읍 일과리 253-3,2024-08-23
대정읍,아일랜드 힐,제주특별자치도 서귀포시 대정읍 일과리 930,2024-08-23
대정읍,영오종합상사 아래 사거리,제주특별자치도 서귀포시 대정읍 안성리 1561-2,2024-08-23
대정읍,남제주요양원,제주특별자치도 서귀포시 대정읍 하모리 1331-3,2024-08-23
대정읍,일번지가든,제주특별자치도 서귀포시 대정읍 하모리 909,2024-08-23
